"V1","V2"
4676000,5004000
4676000,5014000
4686000,5004000
4666000,5014000
4686000,5014000
4646000,4944000
4686000,5024000
4656000,4944000
4646000,4934000
4686000,5034000
4666000,5024000
4666000,5004000
4646000,4924000
4676000,5024000
4236000,4274000
4696000,5014000
4676000,4994000
4656000,4914000
4686000,4994000
4656000,5014000
4656000,5034000
4666000,5044000
4246000,4284000
4666000,4924000
4756000,5164000
4246000,4274000
4666000,4994000
4666000,4934000
4656000,4924000
4656000,4934000
4656000,5024000
4766000,5154000
4756000,5154000
4226000,4274000
4656000,5004000
4696000,5024000
4766000,5164000
4666000,4944000
4656000,4984000
4236000,4284000
4636000,4924000
4646000,5034000
4216000,4294000
4646000,4914000
4746000,5174000
4656000,4994000
4226000,4264000
4696000,5034000
4186000,4174000
4676000,4924000
4216000,4334000
4646000,5014000
4206000,4294000
4666000,4984000
4196000,4194000
4216000,4274000
4646000,5024000
4176000,4164000
4766000,5144000
4646000,4954000
4636000,4934000
4666000,5034000
4696000,5094000
4746000,5164000
4676000,4964000
4766000,5174000
4246000,4264000
4776000,5164000
4676000,4974000
4186000,4164000
4676000,4934000
4676000,5044000
4656000,5044000
4656000,4974000
4636000,4914000
4236000,4264000
4206000,4204000
4646000,5004000
4756000,5174000
4636000,4944000
4606000,4904000
4676000,4984000
4196000,4204000
4626000,4904000
4696000,5104000
4626000,4894000
4666000,4974000
4256000,4284000
4186000,4184000
4706000,5014000
4686000,4974000
4706000,5024000
4596000,4914000
4596000,4904000
4696000,4984000
4196000,4174000
4196000,4184000
4776000,5134000
4176000,4174000
4176000,4184000
4676000,5034000
4706000,5064000
4616000,4904000
4736000,5144000
4616000,4914000
4186000,4204000
4786000,5204000
4786000,5194000
4776000,5154000
4626000,4914000
4666000,4914000
4686000,5074000
4606000,4864000
4636000,4884000
4696000,5004000
4666000,5074000
4206000,4194000
4706000,5034000
4266000,4364000
4216000,4304000
4226000,4334000
4226000,4284000
4186000,4194000
4776000,5204000
4196000,4294000
4776000,5144000
4796000,5194000
4216000,4204000
4606000,4914000
4586000,4814000
4646000,4904000
4706000,5094000
4686000,4984000
4746000,5144000
4276000,4364000
4276000,4354000
4216000,4194000
4726000,5134000
4186000,4314000
4736000,5104000
4756000,5184000
4586000,4914000
4636000,4894000
4636000,4904000
4776000,5174000
4636000,4954000
4736000,5094000
4626000,4924000
4676000,5074000
4616000,4894000
4766000,5134000
4576000,4814000
4796000,5204000
4656000,4954000
4746000,5184000
4766000,5104000
4256000,4294000
4586000,4834000
4706000,5004000
4726000,5124000
4586000,4824000
4576000,4844000
4246000,4294000
4186000,4304000
4286000,4364000
4706000,5084000
4666000,4964000
4576000,4824000
4606000,4854000
4196000,4304000
4756000,5144000
4216000,4344000
4626000,4864000
4686000,5094000
4716000,5024000
4786000,5164000
4626000,4884000
4576000,4834000
4686000,4964000
4616000,4864000
4696000,4994000
4746000,5094000
4706000,4984000
4756000,5114000
4246000,4254000
4736000,5114000
4776000,5194000
4686000,5104000
4226000,4294000
4206000,4284000
4726000,5114000
4586000,4844000
4196000,4164000
4756000,5194000
4746000,5154000
4226000,4254000
4216000,4284000
4166000,4294000
4646000,5044000
4236000,4254000
4696000,5074000
4666000,5064000
4746000,5114000
4646000,4994000
4746000,5194000
4266000,4354000
4626000,4964000
4756000,5104000
4696000,5064000
4206000,4344000
4786000,5134000
4626000,4934000
4766000,5214000
4726000,5154000
4156000,4114000
4206000,4264000
4656000,4964000
4216000,4264000
4646000,4874000
4496000,4844000
4216000,4214000
4676000,4954000
4786000,5124000
4736000,5154000
4226000,4214000
4676000,5104000
4776000,5124000
4806000,5184000
4586000,4784000
4596000,4864000
4726000,5104000
4246000,4324000
4666000,5054000
4716000,5014000
4616000,4854000
4776000,5094000
4586000,4874000
4586000,4804000
4286000,4354000
4756000,5094000
4206000,4304000
4826000,5214000
4746000,5104000
4636000,5004000
4736000,5124000
4186000,4294000
4226000,4224000
4766000,5094000
4686000,4934000
4716000,5034000
4596000,4824000
4656000,5064000
4256000,4324000
4206000,4164000
4646000,4984000
4176000,4124000
4196000,4314000
4666000,4954000
4646000,4884000
4186000,4284000
4666000,5084000
4786000,5154000
4156000,4104000
4586000,4924000
4796000,5184000
4716000,5134000
4746000,5134000
4696000,4924000
